trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.9, 'e': 0.6782896777323333}",20,14,8.331640159606971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.6762196220884876}",30,1,-18.209025545891848,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.9, 'e': 0.6741558839967282}",25,5,-10.455102166624924,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.9, 'e': 0.6720984441766726}",20,6,26.487371487968968,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.6700472834067799}",25,12,19.883559894656962,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.6680023825241705}",25,16,5.9892339430498245,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.6659637224244481}",30,19,21.504559699166904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.6639312840615202}",20,16,8.873117963713582,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.6619050484474209}",25,9,-51.6399025740426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
137,False,"{'a': 0.9, 'e': 0.659884996652133}",20,9,19.60116400153197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.6578711098034113}",20,0,25.405745020190395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.6558633690866066}",20,8,23.78906088255468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.6538617557444896}",20,10,18.140216146513588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.6518662510770754}",25,0,-5.963285069448029,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.6498768364414497}",25,13,20.569559529865266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.6478934932515935}",25,6,33.53825530669748,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.6459162029782104}",20,13,11.793768857866818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.6439449471485529}",25,14,22.061258771146555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.6419797073462501}",25,13,22.268059303579278,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.6400204652111355}",20,0,21.51463000949233,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.9, 'e': 0.6380672024390757}",25,14,21.097107624277825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.636119900781799}",25,8,33.89165770101143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.6341785420467255}",30,3,35.92639125152093,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.6322431080967964}",20,6,23.22917505320344,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.6303135808503052}",20,8,20.55715636910397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.6283899422807284}",25,8,25.37702577096657,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.6264721744165573}",20,10,19.108362278926506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.62456025934113}",35,17,33.760939457494885,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.6226541791924638}",20,10,18.486828754809867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.6207539161630887}",30,18,19.659370872395634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.6188594524998812}",25,11,23.908750512051576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.6169707705038976}",20,8,23.10357267906639,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.6150878525302095}",20,0,25.748845628746516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.9, 'e': 0.6132106809877383}",35,20,24.675431080235683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.6113392383390917}",30,14,29.703928601363824,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.6094735071003987}",30,13,31.839573852412876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.6076134698411476}",25,15,17.97217850880464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.605759109184022}",20,0,29.132658286712562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.9, 'e': 0.6039104078047389}",25,15,17.787883245854225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.6020673484318869}",30,3,43.279752882098215,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.6002299138467649}",20,14,11.433788280469077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.5983980868832213}",20,12,15.969219389810359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.5965718504274928}",25,10,22.590421678572184,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.5947511874180461}",20,4,20.654160832585923,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.5929360808454167}",35,23,24.00439806254935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.5911265137520514}",20,15,8.162585707906155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.5893224692321493}",25,20,11.886630742006176,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.5875239304315036}",20,8,18.982228054865857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.5857308805473448}",20,12,16.70696204470089,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.5839433028281831}",30,22,14.171444966628298,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
